name,country,follower_count,products,shopid,ctime,rating_normal,rating_bad,rating_good,item_count,rating_star,shop_location,response_time,response_rate
JULYS__STORE,VN,180666,1075,1871916,1448300497,191,28,32657,1075,4.963021,Hà Nội,6615.0,99
🌻 KenKids Shop 🌻,VN,7477,589,27211089,1499426833,294,100,25210,589,4.934302,TP. Hồ Chí Minh,7560.0,100
KiotViet Seller Testing 422,VN,1,13,720068069,1647482779,0,0,0,13,,Hà Nội,,57
T-YOO,VN,24546,415,419394380,1617874328,210,148,6684,415,4.795753,Quốc Tế,5925.0,83
maithule123,VN,21541,155,69161938,1526112223,237,98,3230,155,4.649485,Nghệ An,,1
trico.vietnam.vn,VN,79589,599,345875119,1606453259,345,135,10422,599,4.826578,Quốc Tế,3611.0,95
KEM.STUDIO,VN,668,41,765586691,1651855184,1,0,114,41,4.961905,Bắc Ninh,5719.0,96
I-SW.VN,VN,1063,460,379984136,1611836524,17,10,159,460,4.516129,Quốc Tế,12066.0,77
Shop GG thời trang nam nữ,VN,7050,194,319285508,1602070863,286,117,6821,194,4.744292,Hà Nội,10479.0,86
jldcfs.vn,VN,1091,140,452255484,1622081670,17,13,424,140,4.740991,Quốc Tế,20854.0,53
Say Boutique,VN,387,26,115606642,1545305546,0,0,236,26,4.964912,TP. Hồ Chí Minh,393.0,79
lananh.china,VN,17991,106,165877943,1564193342,158,106,4778,106,4.801375,Hà Nội,25475.0,12
bunbunsrote8626,VN,6222,61,291753186,1596359566,55,27,1568,61,4.758268,Hà Nội,5383.0,96
TheBeautyHouse99,VN,114,616,784509317,1654066397,5,3,479,616,4.903226,TP. Hồ Chí Minh,17194.0,67
Kho Sỉ SuSu,VN,3218,85,285952053,1594911112,14,4,1006,85,4.93667,TP. Hồ Chí Minh,5478.0,91
DHL.STUDIO,VN,1738,32,747365979,1649928435,72,38,928,32,4.604418,Hà Nội,18986.0,54
Summer  AD.vn,VN,3656,537,567656706,1634632226,33,12,678,536,4.795014,Quốc Tế,6400.0,88
Xưởng áo phông 17K,VN,3770,4978,1302509,1445668795,160,111,1873,4978,4.542957,Hà Nội,,1
Baolaiwu.vn,VN,33,47,768381058,1652178796,2,1,39,47,4.785714,Quốc Tế,6974.0,85
NUTRA CLOSET (Áo khoác QC),VN,4155,349,7602838,1467863638,34,10,1520,349,4.876302,TP. Hồ Chí Minh,3691.0,98
CHUYÊN HÀNG VNXK DƯ XỊN,VN,6083,3489,5655887,1463203561,34,7,4766,3489,4.961373,Hưng Yên,3557.0,88
Hoa Cười - Thời trang mẹ và bé,VN,8751,143,25637113,1497535371,184,127,3853,143,4.740995,Hà Nội,5184.0,89
halanshop boutique,VN,204446,517,6332837,1464848775,1639,581,66486,517,4.867372,TP. Hồ Chí Minh,12162.0,93
Mira Boutique HN,VN,385,35,53847853,1516843769,4,0,108,35,4.899083,Hà Nội,8533.0,66
Hichi.store,VN,34512,689,485965900,1625921845,66,17,5599,689,4.939507,Hà Nội,15634.0,35
xiai1 Mall,VN,670,938,450819609,1621910265,5,5,118,938,4.690476,Quốc Tế,12971.0,79
Hiệu đồ 90s,VN,5003,60,16976010,1487749570,39,11,1448,60,4.870219,TP. Hồ Chí Minh,7807.0,91
YTong1   Mall,VN,833,757,570184047,1634893870,10,7,153,757,4.627219,Quốc Tế,14621.0,70
Minastore.official,VN,697,108,7166414,1466622758,0,0,75,108,5.0,TP. Hồ Chí Minh,2125.0,99
NangClothing_XưởngMayThờiTrang,VN,2754,49,553975903,1633312922,50,21,1493,49,4.828363,Đà Nẵng,54.0,7
THE NOTE OFFICIAL,VN,2385,25,77241065,1530513279,9,4,589,25,4.910806,TP. Hồ Chí Minh,19164.0,64
liutao_303.vn,VN,219,401,822452089,1658295169,3,0,17,401,4.684211,Quốc Tế,16521.0,59
Tổng Kho Hải Trình Tb,VN,278,375,780580312,1653586760,8,7,67,375,4.3375,Thái Bình,13367.0,80
CHỢ SỈ HÀNG XUẤT JAPAN 457,VN,1513,220,57845341,1519393330,8,1,416,220,4.931034,TP. Hồ Chí Minh,2655.0,90
Shop mẹ Boss - Nous Hà nội,VN,6711,191,13824811,1481739554,31,20,4957,191,4.955589,Hà Nội,5329.0,46
lullabybaby Shop,VN,8414,293,100638761,1541105816,17,11,1453,293,4.919421,Hà Nội,2306.0,56
HUDU SHOPS,VN,5097,125,62296350,1521989686,159,63,3133,125,4.745614,TP. Hồ Chí Minh,12.0,22
MinZy_Store_82,VN,2080,32,79613947,1531757439,12,6,345,32,4.786111,Thanh Hóa,7795.0,85
huwaiyundong108.vn,VN,18,508,796721246,1655439400,0,0,7,508,5.0,Quốc Tế,15448.0,28
HClothes,VN,10703,130,189869677,1571481013,94,63,880,130,4.475538,Hà Nội,32216.0,9
Mr.wolf.vn,VN,8664,506,423834136,1618470308,53,57,1744,506,4.767093,Quốc Tế,2401.0,98
seiseili,VN,19013,1526,372925644,1610601136,135,97,977,1527,4.3425,Quốc Tế,5538.0,99
MOUSE.,VN,2041,8,428470491,1619089017,3,1,773,8,4.97878,TP. Hồ Chí Minh,1871.0,100
heyyou_store,VN,264,9,862451662,1662956326,11,4,49,9,4.28125,Hà Nội,,57
namdinh_shop,VN,53,63,438266187,1620276669,5,3,16,63,3.956522,Nam Định,3802.0,50
Hachi_Fashion,VN,660,224,472770538,1624373403,39,24,532,224,4.47806,TP. Hồ Chí Minh,8383.0,94
HẠNH HOÀNG DESIGN,VN,7315,196,306324741,1599487184,22,9,1076,196,4.893186,Hải Dương,16802.0,39
huangxb.vn,VN,2195,503,450960621,1621925588,214,140,4625,503,4.720534,Quốc Tế,5880.0,84
Valent store,VN,198,45,376843035,1611286640,0,0,68,45,4.939394,Hà Nội,1534.0,93
dubaishop9999,VN,32,1334,771670508,1652544745,0,1,19,1334,4.777778,TP. Hồ Chí Minh,16351.0,30
MY SHOP clothing,VN,146,114,332297004,1604471471,1,1,14,114,4.5625,Đà Nẵng,2057.0,94
Wboutique.store.vn,VN,2729,389,593635023,1637029676,14,11,301,389,4.695385,Quốc Tế,11629.0,81
Khuyến khích,VN,2871,162,575962585,1635500707,32,26,761,162,4.737948,Quốc Tế,10915.0,86
lilys_store,VN,3548,130,304859479,1599186529,0,2,353,130,4.971154,Hà Nội,1662.0,92
ktrip,VN,15411,253,73635242,1528354534,187,63,9438,253,4.885042,Hà Nội,7434.0,91
wujiaru.vn,VN,3502,194,328890080,1603867914,99,82,1535,194,4.601303,Quốc Tế,11050.0,73
hienthaoshop123,VN,5913,523,53032700,1516335520,77,26,1899,523,4.808704,Hà Nội,6242.0,87
